0, nan
1, 0.524404
8, 0.134631
27, 0.408889
64, 0.076236
125, 0.035943
216, 0.060694
343, 0.084234
512, 0.011618
729, 0.023384
1000, 0.030249
1331, 0.087133
1728, 0.023932
2197, 0.047642
2744, 0.046521
3375, 0.000339
4096, 0.010262
4913, 0.010104
5832, 0.007153
6859, 0.014022
8000, 0.008550
9261, 0.001530
10648, 0.002210
12167, 0.013739
13824, 0.010039
15625, 0.002178
17576, 0.007492
19683, 0.007292
21952, 0.008620
24389, 0.007140
27000, 0.005946
29791, 0.002833
32768, 0.009176
35937, 0.000813
39304, 0.016337
42875, 0.001723
46656, 0.001988
50653, 0.002439
54872, 0.010650
59319, 0.012184
64000, 0.004540
68921, 0.001513
74088, 0.004802
79507, 0.004037
85184, 0.007574
91125, 0.006617
97336, 0.002537
103823, 0.002506
110592, 0.001053
117649, 0.003223
125000, 0.007298
132651, 0.004696
140608, 0.006747
148877, 0.006765
157464, 0.000227
166375, 0.003338
175616, 0.005400
185193, 0.001928
195112, 0.005845
205379, 0.003944
216000, 0.001140
226981, 0.001519
238328, 0.001466
250047, 0.000499
262144, 0.001362
274625, 0.002933
287496, 0.001484
300763, 0.001653
314432, 0.003184
328509, 0.001730
343000, 0.002693
357911, 0.006157
373248, 0.001426
389017, 0.000876
405224, 0.002809
421875, 0.001109
438976, 0.002722
456533, 0.000148
474552, 0.003299
493039, 0.000511
512000, 0.001820
531441, 0.002178
551368, 0.006278
571787, 0.001179
592704, 0.000200
614125, 0.000561
636056, 0.000223
658503, 0.000377
681472, 0.002978
704969, 0.001028
729000, 0.000895
753571, 0.002409
778688, 0.000325
804357, 0.001713
830584, 0.000425
857375, 0.000206
884736, 0.000578
912673, 0.002456
941192, 0.002373
970299, 0.000945
